P#,Document,Extension,Jenis,SortCategory,Category,SortTopic,Topic,Date,Last Updated,MIME Type,Size,ID,url
2,PPh Pasal 21 Pegawai Tidak Tetap,,PPh,7,PPh Pasal 21,4,Cara Perhitungan Sejak tahun pajak 2015,Wed Feb 19 2020 14:12:39 GMT+0800 (HKT),Wed Feb 19 2020 14:12:52 GMT+0800 (HKT),document,0,1KcYioQttzQpDqlls1as8SClcrV7Y2S610QNOYrDWGbI,https://docs.google.com/document/d/1KcYioQttzQpDqlls1as8SClcrV7Y2S610QNOYrDWGbI/edit?usp=drivesdk
1,PPh Pasal 21 Pegawai Tetap dan Penerima Pensiun Berkala,,PPh,7,PPh Pasal 21,4,Cara Perhitungan Sejak tahun pajak 2015,Wed Feb 19 2020 14:12:24 GMT+0800 (HKT),Wed Feb 19 2020 14:12:37 GMT+0800 (HKT),document,0,1QpgJu-ZK-R97ICvsVDT3NcoIBS-gKxD9pqK8p9Hcu0Q,https://docs.google.com/document/d/1QpgJu-ZK-R97ICvsVDT3NcoIBS-gKxD9pqK8p9Hcu0Q/edit?usp=drivesdk
4,"PPh 21 atas mantan pegawai, komisaris yang bukan pegawai tetap, penarikan dana pensiun oleh pegawai",,PPh,7,PPh Pasal 21,3,Cara Penghitungan Sejak 1 Januari 2013,Wed Feb 19 2020 14:09:46 GMT+0800 (HKT),Wed Feb 19 2020 14:09:59 GMT+0800 (HKT),document,0,1L4VRyZ8Iv9EkBlSd3DFvB6oIYydsjfLqczk8JZ5DcaY,https://docs.google.com/document/d/1L4VRyZ8Iv9EkBlSd3DFvB6oIYydsjfLqczk8JZ5DcaY/edit?usp=drivesdk
3,PPh Pasal 21 Pegawai Tidak Tetap,,PPh,7,PPh Pasal 21,3,Cara Penghitungan Sejak 1 Januari 2013,Wed Feb 19 2020 14:09:32 GMT+0800 (HKT),Wed Feb 19 2020 14:09:46 GMT+0800 (HKT),document,0,1n92a1xj1dxBDXLl50TMypz7ZnDYQTYh4z0xrvwOheYU,https://docs.google.com/document/d/1n92a1xj1dxBDXLl50TMypz7ZnDYQTYh4z0xrvwOheYU/edit?usp=drivesdk
2,Penghitungan PPh 21 Pegawai Tetap dan Penerima Pensiun Berkala,,PPh,7,PPh Pasal 21,3,Cara Penghitungan Sejak 1 Januari 2013,Wed Feb 19 2020 14:09:16 GMT+0800 (HKT),Wed Feb 19 2020 14:09:30 GMT+0800 (HKT),document,0,1vv5lbTjtXaXK2HY9xNHZ-MwPee3pn3xoZPqwvA_Ie7M,https://docs.google.com/document/d/1vv5lbTjtXaXK2HY9xNHZ-MwPee3pn3xoZPqwvA_Ie7M/edit?usp=drivesdk
1,PPh Pasal 21 Atas Bonus dan Tunjangan Hari Raya (THR),,PPh,7,PPh Pasal 21,3,Cara Penghitungan Sejak 1 Januari 2013,Wed Feb 19 2020 14:08:54 GMT+0800 (HKT),Wed Feb 19 2020 14:09:11 GMT+0800 (HKT),document,0,1QvmZe76_e8dywJX311z9vEaHZeFHAfO6_gBP2up__y4,https://docs.google.com/document/d/1QvmZe76_e8dywJX311z9vEaHZeFHAfO6_gBP2up__y4/edit?usp=drivesdk
4,"PPh 21 atas mantan pegawai, komisaris yang bukan pegawai tetap, penarikan dana pensiun oleh pegawai",,PPh,7,PPh Pasal 21,2,Cara Perhitungan < 1 Januari 2013,Wed Feb 19 2020 14:07:07 GMT+0800 (HKT),Wed Feb 19 2020 14:07:29 GMT+0800 (HKT),document,0,1ipwnaFjYRLWHe-EPQEvy2y2qzpidR-UtTVANWJcf-xk,https://docs.google.com/document/d/1ipwnaFjYRLWHe-EPQEvy2y2qzpidR-UtTVANWJcf-xk/edit?usp=drivesdk
3,PPh Pasal 21 Pegawai Tidak Tetap,,PPh,7,PPh Pasal 21,2,Cara Perhitungan < 1 Januari 2013,Wed Feb 19 2020 14:06:46 GMT+0800 (HKT),Wed Feb 19 2020 14:07:00 GMT+0800 (HKT),document,0,1CHMRujFMdUutrFdL0DpIHdSvJgnjSX-lEZKoaQ9jkoE,https://docs.google.com/document/d/1CHMRujFMdUutrFdL0DpIHdSvJgnjSX-lEZKoaQ9jkoE/edit?usp=drivesdk
2,PPh Pasal 21 Pegawai Tetap dan Penerima Pensiun Berkala,,PPh,7,PPh Pasal 21,2,Cara Perhitungan < 1 Januari 2013,Wed Feb 19 2020 14:06:26 GMT+0800 (HKT),Wed Feb 19 2020 14:06:40 GMT+0800 (HKT),document,0,11phppY4g1j3AxPIgNCwiB50T2RjnxW3_LLnx0h2_GzI,https://docs.google.com/document/d/11phppY4g1j3AxPIgNCwiB50T2RjnxW3_LLnx0h2_GzI/edit?usp=drivesdk
1,PPh Pasal 21 Atas Bonus dan Tunjangan Hari Raya (THR),,PPh,7,PPh Pasal 21,2,Cara Perhitungan < 1 Januari 2013,Wed Feb 19 2020 14:05:14 GMT+0800 (HKT),Wed Feb 19 2020 14:05:34 GMT+0800 (HKT),document,0,1JOyW6CUW6tnoDpQVyuKHWQjL09mSoJWaN1jIk7d8MCg,https://docs.google.com/document/d/1JOyW6CUW6tnoDpQVyuKHWQjL09mSoJWaN1jIk7d8MCg/edit?usp=drivesdk
14,Pajak Penghasilan Pasal 21 atas Penghasilan Pegawai dari Pemberi Kerja yang Memenuhi Kriteria Tertentu,,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 10:03:04 GMT+0800 (HKT),Wed Feb 19 2020 10:04:13 GMT+0800 (HKT),document,0,1PQDyXL85ffexGqn4udhzshyfuaEXLdy8sS1SBApnmZ0,https://docs.google.com/document/d/1PQDyXL85ffexGqn4udhzshyfuaEXLdy8sS1SBApnmZ0/edit?usp=drivesdk
13,Unsur Penambah dan Pengurang Penghasilan dalam Penghitungan PPh Pasal 21,,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 10:03:09 GMT+0800 (HKT),Wed Feb 19 2020 10:04:02 GMT+0800 (HKT),document,0,1DILXCz2pkuaZPhgl-_voDzHE5yk3RFN3wJqnxStKmiQ,https://docs.google.com/document/d/1DILXCz2pkuaZPhgl-_voDzHE5yk3RFN3wJqnxStKmiQ/edit?usp=drivesdk
12,"PPh 21 bagi Pejabat Negara, PNS, Anggota TNI, POLRI, dan Pensiunannya",,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 10:03:10 GMT+0800 (HKT),Wed Feb 19 2020 10:03:55 GMT+0800 (HKT),document,0,13enJLuZUSwhsqigSi-pghjkakV2jFMicfQF06CwDpRQ,https://docs.google.com/document/d/13enJLuZUSwhsqigSi-pghjkakV2jFMicfQF06CwDpRQ/edit?usp=drivesdk
11,"SKB PPh Potput (SKB PPh 21, 22, 22 impor, 23)",,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 10:03:20 GMT+0800 (HKT),Wed Feb 19 2020 10:03:43 GMT+0800 (HKT),document,0,1Zfj8oqQVULU3dW16ovuDqQmuQHDx6bahrCoWKVD71_E,https://docs.google.com/document/d/1Zfj8oqQVULU3dW16ovuDqQmuQHDx6bahrCoWKVD71_E/edit?usp=drivesdk
10,Pemotong dan Bukan Pemotong PPh Pasal 21/26,,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 10:00:00 GMT+0800 (HKT),Wed Feb 19 2020 10:02:58 GMT+0800 (HKT),document,0,1KmEP5WZtAn6pO72YhgvJAGBa3r6BcdTlo21UnLknZTM,https://docs.google.com/document/d/1KmEP5WZtAn6pO72YhgvJAGBa3r6BcdTlo21UnLknZTM/edit?usp=drivesdk
9,Objek dan Bukan Objek PPh Pasal 21/26,,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 10:00:07 GMT+0800 (HKT),Wed Feb 19 2020 10:02:50 GMT+0800 (HKT),document,0,1Fe6rK3XVDmyVpEIwN8FBnHitlRqJt0PR6WUIbIHOMD4,https://docs.google.com/document/d/1Fe6rK3XVDmyVpEIwN8FBnHitlRqJt0PR6WUIbIHOMD4/edit?usp=drivesdk
8,Subjek dan Bukan Subjek PPh Pasal 21/26,,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 09:43:21 GMT+0800 (HKT),Wed Feb 19 2020 09:46:49 GMT+0800 (HKT),document,0,1qV4DxK5F6l6XtRT6S-xEVKIBlLvJyMZpc9kM1M7Xnks,https://docs.google.com/document/d/1qV4DxK5F6l6XtRT6S-xEVKIBlLvJyMZpc9kM1M7Xnks/edit?usp=drivesdk
7,Biaya Jabatan dan Biaya Pensiun,,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 09:43:32 GMT+0800 (HKT),Wed Feb 19 2020 09:46:38 GMT+0800 (HKT),document,0,1o8W44g3ZH5ljI6JUbD8d_xOlwwXofOJf0BuB3kBq6Bo,https://docs.google.com/document/d/1o8W44g3ZH5ljI6JUbD8d_xOlwwXofOJf0BuB3kBq6Bo/edit?usp=drivesdk
6,Penghasilan Tidak Kena Pajak (PTKP),,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 09:43:29 GMT+0800 (HKT),Wed Feb 19 2020 09:46:31 GMT+0800 (HKT),document,0,1ZQqyz4LCgTKKGfSKT2jLIIlSwPLVp46FyBGBQ8sJtLE,https://docs.google.com/document/d/1ZQqyz4LCgTKKGfSKT2jLIIlSwPLVp46FyBGBQ8sJtLE/edit?usp=drivesdk
5,"Pesangon, Uang Manfaat Pensiun, THT dan JHT",,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 09:42:11 GMT+0800 (HKT),Wed Feb 19 2020 09:46:20 GMT+0800 (HKT),document,0,1RDTiTQYqz666GsFl57dCooQebudclgrtA385-avA490,https://docs.google.com/document/d/1RDTiTQYqz666GsFl57dCooQebudclgrtA385-avA490/edit?usp=drivesdk
4,Tanda Tangan Stempel & Bukti Potong Online PPh 21,,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 09:42:08 GMT+0800 (HKT),Wed Feb 19 2020 09:46:07 GMT+0800 (HKT),document,0,1CfODE5PAwZvj8Ee79zUuRm7G1iQgCD1ObI6yI4XuzuY,https://docs.google.com/document/d/1CfODE5PAwZvj8Ee79zUuRm7G1iQgCD1ObI6yI4XuzuY/edit?usp=drivesdk
3,PPh 21 Ditanggung Pemerintah,,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 09:43:30 GMT+0800 (HKT),Wed Feb 19 2020 09:45:57 GMT+0800 (HKT),document,0,1-fkK4AjC6fQHDuFRIEOQZ0l9OQaGqCdZfLRmsaO1Vck,https://docs.google.com/document/d/1-fkK4AjC6fQHDuFRIEOQZ0l9OQaGqCdZfLRmsaO1Vck/edit?usp=drivesdk
2,"Jamsostek (JKK, JHT, JKM, JPK & JHT) dan Premi asuransi lainnya",,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 09:43:19 GMT+0800 (HKT),Wed Feb 19 2020 09:45:50 GMT+0800 (HKT),document,0,1-dbutICE1PJ-Wq2RSEcLQxkaedACnTbQ1OJ_6gmeMPY,https://docs.google.com/document/d/1-dbutICE1PJ-Wq2RSEcLQxkaedACnTbQ1OJ_6gmeMPY/edit?usp=drivesdk
1,Tabel Tarif PPh Pasal 21,,PPh,7,PPh Pasal 21,1,Ketentuan Umum PPh Pasal 21,Wed Feb 19 2020 09:43:32 GMT+0800 (HKT),Wed Feb 19 2020 09:45:41 GMT+0800 (HKT),document,0,1-O5FYi-HXxg0V1dkGUefRrXnwYkWTmw5YH8Kd0VXQn4,https://docs.google.com/document/d/1-O5FYi-HXxg0V1dkGUefRrXnwYkWTmw5YH8Kd0VXQn4/edit?usp=drivesdk
12,Transaksi e-commerse,,PPh,6,Penghasilan atas Jenis Usaha Tertentu,,,Wed Feb 19 2020 09:36:50 GMT+0800 (HKT),Wed Feb 19 2020 09:37:22 GMT+0800 (HKT),document,0,1aRoXeDB5dkNkoAVD6Bvq1XvOQ0qwG5mPmHmxVBARk_4,https://docs.google.com/document/d/1aRoXeDB5dkNkoAVD6Bvq1XvOQ0qwG5mPmHmxVBARk_4/edit?usp=drivesdk
11,Penghitungan PPh Kontraktor Kontrak Kerja Sama Migas,,PPh,6,Penghasilan atas Jenis Usaha Tertentu,,,Wed Feb 19 2020 09:36:40 GMT+0800 (HKT),Wed Feb 19 2020 09:37:11 GMT+0800 (HKT),document,0,1YpBKDAO3zJ682udoO62aL5d3NxWhSAbr-AzCkuUAEok,https://docs.google.com/document/d/1YpBKDAO3zJ682udoO62aL5d3NxWhSAbr-AzCkuUAEok/edit?usp=drivesdk
10,Perusahaan Pelayaran Niaga Nasional,,PPh,6,Penghasilan atas Jenis Usaha Tertentu,,,Wed Feb 19 2020 09:28:11 GMT+0800 (HKT),Wed Feb 19 2020 09:36:36 GMT+0800 (HKT),document,0,1yzlxGgNr_UCshTkRpOfRPHsvDX-UgMNU4QJLoZ077c4,https://docs.google.com/document/d/1yzlxGgNr_UCshTkRpOfRPHsvDX-UgMNU4QJLoZ077c4/edit?usp=drivesdk
9,Kegiatan Usaha Berbasis Syariah,,PPh,6,Penghasilan atas Jenis Usaha Tertentu,,,Wed Feb 19 2020 09:28:49 GMT+0800 (HKT),Wed Feb 19 2020 09:36:27 GMT+0800 (HKT),document,0,1x3L3JIqBiwhNzCpGsL7rqOh98Mu92ll0EjRTHAjqO6c,https://docs.google.com/document/d/1x3L3JIqBiwhNzCpGsL7rqOh98Mu92ll0EjRTHAjqO6c/edit?usp=drivesdk
8,Built Operate and Transfer (BOT) (Bangun Guna Serah),,PPh,6,Penghasilan atas Jenis Usaha Tertentu,,,Wed Feb 19 2020 09:29:32 GMT+0800 (HKT),Wed Feb 19 2020 09:36:18 GMT+0800 (HKT),document,0,1nbR8Lip6haQ-a6uDbvdtqJyvcMkpFLN-u3-xELjd3JA,https://docs.google.com/document/d/1nbR8Lip6haQ-a6uDbvdtqJyvcMkpFLN-u3-xELjd3JA/edit?usp=drivesdk
7,Perlakuan PPh atas Usaha Reksadana,,PPh,6,Penghasilan atas Jenis Usaha Tertentu,,,Wed Feb 19 2020 09:27:36 GMT+0800 (HKT),Wed Feb 19 2020 09:34:31 GMT+0800 (HKT),document,0,1jezn5fRKxGfurqt6ONoHtCh1gbTH4RgGXCsyd9A_iyE,https://docs.google.com/document/d/1jezn5fRKxGfurqt6ONoHtCh1gbTH4RgGXCsyd9A_iyE/edit?usp=drivesdk
6,Usaha Lapangan Golf,,PPh,6,Penghasilan atas Jenis Usaha Tertentu,,,Wed Feb 19 2020 09:27:44 GMT+0800 (HKT),Wed Feb 19 2020 09:34:23 GMT+0800 (HKT),document,0,1_5canndXD_I-MAFt1WHpyYvNbx_2goZPk3cuZBc_06M,https://docs.google.com/document/d/1_5canndXD_I-MAFt1WHpyYvNbx_2goZPk3cuZBc_06M/edit?usp=drivesdk
5,Yayasan,,PPh,6,Penghasilan atas Jenis Usaha Tertentu,,,Wed Feb 19 2020 09:28:34 GMT+0800 (HKT),Wed Feb 19 2020 09:31:24 GMT+0800 (HKT),document,0,1ZG9BZFBhBGYuvPYy2IV9kq42Kfz5fBO6hc8Guthfc6Y,https://docs.google.com/document/d/1ZG9BZFBhBGYuvPYy2IV9kq42Kfz5fBO6hc8Guthfc6Y/edit?usp=drivesdk
4,"CV, Firma, Kongsi, Persekutuan, Kontrak Investasi Kolektif (KIK)",,PPh,6,Penghasilan atas Jenis Usaha Tertentu,,,Wed Feb 19 2020 09:29:22 GMT+0800 (HKT),Wed Feb 19 2020 09:31:14 GMT+0800 (HKT),document,0,1T1xSvVEDwHGQWsrIefDQnAB44OMtq61r8cvnorekERI,https://docs.google.com/document/d/1T1xSvVEDwHGQWsrIefDQnAB44OMtq61r8cvnorekERI/edit?usp=drivesdk
3,Perlakuan Perpajakan untuk Pengusaha Panas Bumi,,PPh,6,Penghasilan atas Jenis Usaha Tertentu,,,Wed Feb 19 2020 09:28:24 GMT+0800 (HKT),Wed Feb 19 2020 09:31:05 GMT+0800 (HKT),document,0,1SQK-Lt84F45ag7FLX3l-YoIPGIip_mCPaCJMgS4RS7Q,https://docs.google.com/document/d/1SQK-Lt84F45ag7FLX3l-YoIPGIip_mCPaCJMgS4RS7Q/edit?usp=drivesdk
2,Perlakuan PPh dan PPN atas Leasing (Sewa Guna Usaha),,PPh,6,Penghasilan atas Jenis Usaha Tertentu,,,Wed Feb 19 2020 09:29:28 GMT+0800 (HKT),Wed Feb 19 2020 09:30:28 GMT+0800 (HKT),document,0,1RF5UvbwvKgqzUWLje991jyAM0b38_vzWmoQTESV5ufE,https://docs.google.com/document/d/1RF5UvbwvKgqzUWLje991jyAM0b38_vzWmoQTESV5ufE/edit?usp=drivesdk
1,Join Operation (Pemecahan Bukti Potong),,PPh,6,Penghasilan atas Jenis Usaha Tertentu,,,Wed Feb 19 2020 09:27:58 GMT+0800 (HKT),Wed Feb 19 2020 09:30:12 GMT+0800 (HKT),document,0,1GLu3BRwbufe7qslJYfYKJSsxjSIwcstP91R9YWVZJes,https://docs.google.com/document/d/1GLu3BRwbufe7qslJYfYKJSsxjSIwcstP91R9YWVZJes/edit?usp=drivesdk
5,Daftar Wilayah KAPET,,PPh,6,Penghasilan atas Jenis Usaha Tertentu,1,Perpajakan di KAPET,Wed Feb 19 2020 09:38:23 GMT+0800 (HKT),Wed Feb 19 2020 09:40:48 GMT+0800 (HKT),document,0,1jgOZyW-W-k3r-Euz-wyNkUF_sHczbEp1mgkCbH7pdvU,https://docs.google.com/document/d/1jgOZyW-W-k3r-Euz-wyNkUF_sHczbEp1mgkCbH7pdvU/edit?usp=drivesdk
4,Kawasan Pengembangan Ekonomi Terpadu (KAPET) (yang ditetapkan sebagai Kawasan Berikat),,PPh,6,Penghasilan atas Jenis Usaha Tertentu,1,Perpajakan di KAPET,Wed Feb 19 2020 09:38:46 GMT+0800 (HKT),Wed Feb 19 2020 09:39:48 GMT+0800 (HKT),document,0,1W32EYGi4FUg-0vVAZ-rAvBAI7hoOqIm_FxKiITEVQ7g,https://docs.google.com/document/d/1W32EYGi4FUg-0vVAZ-rAvBAI7hoOqIm_FxKiITEVQ7g/edit?usp=drivesdk
3,Untuk Pengusaha yang Tidak Berdomisili di dalam wilayah KAPET,,PPh,6,Penghasilan atas Jenis Usaha Tertentu,1,Perpajakan di KAPET,Wed Feb 19 2020 09:38:54 GMT+0800 (HKT),Wed Feb 19 2020 09:39:36 GMT+0800 (HKT),document,0,1T5J3J1WGqB4rkPmhfCyN6iMYIazeNYywjTePi8MT1jc,https://docs.google.com/document/d/1T5J3J1WGqB4rkPmhfCyN6iMYIazeNYywjTePi8MT1jc/edit?usp=drivesdk
2,Untuk Pengusaha yang Berdomisili di dalam wilayah KAPET,,PPh,6,Penghasilan atas Jenis Usaha Tertentu,1,Perpajakan di KAPET,Wed Feb 19 2020 09:38:51 GMT+0800 (HKT),Wed Feb 19 2020 09:39:27 GMT+0800 (HKT),document,0,120DhRmmV3QbH8oEaeF4mSe4n9RfxV2gxp6HYM2FkO1k,https://docs.google.com/document/d/120DhRmmV3QbH8oEaeF4mSe4n9RfxV2gxp6HYM2FkO1k/edit?usp=drivesdk
1,Perlakuan Perpajakan di KAPET (PPh dan PPN),,PPh,6,Penghasilan atas Jenis Usaha Tertentu,1,Perpajakan di KAPET,Wed Feb 19 2020 09:38:52 GMT+0800 (HKT),Wed Feb 19 2020 09:39:17 GMT+0800 (HKT),document,0,11Q7M-hte4lHrAhy6oaDok78LCoKaXim0POxqd8MK1os,https://docs.google.com/document/d/11Q7M-hte4lHrAhy6oaDok78LCoKaXim0POxqd8MK1os/edit?usp=drivesdk
3,Tax Haven Country,,PPh,5,Pencatatan dan Pembukuan,,,Wed Feb 19 2020 09:14:05 GMT+0800 (HKT),Wed Feb 19 2020 17:03:22 GMT+0800 (HKT),document,0,1xDPRPcCmxSjeYMNeFqMq1GjVopSoRjcHEUNBibiDA2U,https://docs.google.com/document/d/1xDPRPcCmxSjeYMNeFqMq1GjVopSoRjcHEUNBibiDA2U/edit?usp=drivesdk
2,Norma Penghitungan Penghasilan Neto sejak tahun pajak 2016,,PPh,5,Pencatatan dan Pembukuan,,,Wed Feb 19 2020 09:14:10 GMT+0800 (HKT),Wed Feb 19 2020 17:03:15 GMT+0800 (HKT),document,0,12qJOUopOU2wMBLL_5sqlM6CsKSxQuE4vlmX0wyqH8AI,https://docs.google.com/document/d/12qJOUopOU2wMBLL_5sqlM6CsKSxQuE4vlmX0wyqH8AI/edit?usp=drivesdk
1,Norma Penghitungan Penghasilan Neto,,PPh,5,Pencatatan dan Pembukuan,,,Wed Feb 19 2020 09:13:16 GMT+0800 (HKT),Wed Feb 19 2020 17:03:05 GMT+0800 (HKT),document,0,1L8D8yGJT5LIyEbrlb2_ddjLkbdF71xMKxr-1WvG1JgE,https://docs.google.com/document/d/1L8D8yGJT5LIyEbrlb2_ddjLkbdF71xMKxr-1WvG1JgE/edit?usp=drivesdk
9,Bukan objek PPh,,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:37:17 GMT+0800 (HKT),Tue Feb 18 2020 16:39:31 GMT+0800 (HKT),document,0,1m6IcM4nlDv_TYq2YBpwM1bMilMpJaBP3w6xD4-BdJzM,https://docs.google.com/document/d/1m6IcM4nlDv_TYq2YBpwM1bMilMpJaBP3w6xD4-BdJzM/edit?usp=drivesdk
8,Objek PPh,,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:35:38 GMT+0800 (HKT),Tue Feb 18 2020 16:39:19 GMT+0800 (HKT),document,0,1WFR9RkpJ2aLe4roJj85PFyzfnjoRaIDZwvZk1p7umtk,https://docs.google.com/document/d/1WFR9RkpJ2aLe4roJj85PFyzfnjoRaIDZwvZk1p7umtk/edit?usp=drivesdk
7,"Hubungan Usaha, Pekerjaan,Kepemilikan atau Penguasaan",,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:35:24 GMT+0800 (HKT),Tue Feb 18 2020 16:39:09 GMT+0800 (HKT),document,0,1QKwNJCL0GNElOWAr_FS7mDyEPF6ZHy0AcqxKlZtyI_U,https://docs.google.com/document/d/1QKwNJCL0GNElOWAr_FS7mDyEPF6ZHy0AcqxKlZtyI_U/edit?usp=drivesdk
6,Keuntungan karena Pembebasan Utang,,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:36:20 GMT+0800 (HKT),Tue Feb 18 2020 16:38:58 GMT+0800 (HKT),document,0,1NoYWXOQqkLMBMeM9bRH6ZoadojUDYWiqkfjBIz9Gwjg,https://docs.google.com/document/d/1NoYWXOQqkLMBMeM9bRH6ZoadojUDYWiqkfjBIz9Gwjg/edit?usp=drivesdk
5,"Bantuan, Sumbangan, Zakat yang tidak termasuk Objek Pajak",,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:34:21 GMT+0800 (HKT),Tue Feb 18 2020 16:38:50 GMT+0800 (HKT),document,0,1NdjyDKjMMhEmVWG6i2RLWZGq10kFKOxHQ41d8nrXJsQ,https://docs.google.com/document/d/1NdjyDKjMMhEmVWG6i2RLWZGq10kFKOxHQ41d8nrXJsQ/edit?usp=drivesdk
4,Bantuan atau Santunan yang Dibayarkan oleh Badan Penyelenggara Jaminan Sosial (BPJS),,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:27:04 GMT+0800 (HKT),Tue Feb 18 2020 16:38:41 GMT+0800 (HKT),document,0,17oXPrlwahwAfsDEGvSdX92H9IHZyU6KvrNAcwjzE-uA,https://docs.google.com/document/d/17oXPrlwahwAfsDEGvSdX92H9IHZyU6KvrNAcwjzE-uA/edit?usp=drivesdk
3,Beasiswa tidak termasuk Objek Pajak,,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:34:48 GMT+0800 (HKT),Tue Feb 18 2020 16:38:28 GMT+0800 (HKT),document,0,1DoagNwfTxU8eV5FXzKtc1O5XJ6U5P_YHCNT5rl6O0So,https://docs.google.com/document/d/1DoagNwfTxU8eV5FXzKtc1O5XJ6U5P_YHCNT5rl6O0So/edit?usp=drivesdk
2,"Hibah, Bantuan, Sumbangan yang tidak termasuk Objek pajak",,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:36:32 GMT+0800 (HKT),Tue Feb 18 2020 16:38:18 GMT+0800 (HKT),document,0,15mgB4GKF_K9MHvhL5Z6ncieZKseENYjYWWpKJURsAWU,https://docs.google.com/document/d/15mgB4GKF_K9MHvhL5Z6ncieZKseENYjYWWpKJURsAWU/edit?usp=drivesdk
1,Sisa Lebih yang Diterima oleh Badan atau Lembaga Nirlaba di Bidang Pendidikan,,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:36:15 GMT+0800 (HKT),Tue Feb 18 2020 16:38:08 GMT+0800 (HKT),document,0,127FHvhJ_y4YiYS3QJT6uY-FVkMrUU1BkeAeqhQfnxDw,https://docs.google.com/document/d/127FHvhJ_y4YiYS3QJT6uY-FVkMrUU1BkeAeqhQfnxDw/edit?usp=drivesdk
1,Penentuan SPDN dan SPLN,,PPh,2,Subjek Pajak,,,Tue Feb 18 2020 15:47:47 GMT+0800 (HKT),Tue Feb 18 2020 16:26:08 GMT+0800 (HKT),document,0,17CwYpvA7tuAgGqBVyQum9O-PVMQ_u8bNiAYRoBfDGPE,https://docs.google.com/document/d/17CwYpvA7tuAgGqBVyQum9O-PVMQ_u8bNiAYRoBfDGPE/edit?usp=drivesdk
2,Subjek Pajak dan Bukan Subjek Pajak,,PPh,2,Subjek Pajak,,,Tue Feb 18 2020 16:24:31 GMT+0800 (HKT),Tue Feb 18 2020 16:25:54 GMT+0800 (HKT),document,0,19aP2wXcNDNquymFT4pP-WTKxh5K7PIP8sKEZV_09gLI,https://docs.google.com/document/d/19aP2wXcNDNquymFT4pP-WTKxh5K7PIP8sKEZV_09gLI/edit?usp=drivesdk
17,Validasi SSB dan SSP,,PPh,10,PPh Final Pasal 4 ayat (2),,,Wed Feb 19 2020 15:42:00 GMT+0800 (HKT),Wed Feb 19 2020 15:42:13 GMT+0800 (HKT),document,0,1qjlfbuIS6qeq_ygU54yR_FaYU3vr5hskumtdm1lO3Go,https://docs.google.com/document/d/1qjlfbuIS6qeq_ygU54yR_FaYU3vr5hskumtdm1lO3Go/edit?usp=drivesdk
16,PPh Final atas penghasilan WP yang memiliki peredaran bruto tertentu PP 23 Tahun 2018,,PPh,10,PPh Final Pasal 4 ayat (2),,,Wed Feb 19 2020 15:41:54 GMT+0800 (HKT),Wed Feb 19 2020 15:42:07 GMT+0800 (HKT),document,0,1epR1-UNqS_BrWfh7Gewx85Z7Ep-ynAB-KLVHaCrLzrc,https://docs.google.com/document/d/1epR1-UNqS_BrWfh7Gewx85Z7Ep-ynAB-KLVHaCrLzrc/edit?usp=drivesdk
15,PPh Final atas penghasilan WP yang memiliki peredaran bruto tertentu PP 46 Tahun 2013 (sudah tidak berlaku sejak 1 Juli 2018),,PPh,10,PPh Final Pasal 4 ayat (2),,,Wed Feb 19 2020 15:41:47 GMT+0800 (HKT),Wed Feb 19 2020 15:42:01 GMT+0800 (HKT),document,0,1FV0kUVRGx7PDUcon9StLInuATpR4M2xwgjpQdI8GUW8,https://docs.google.com/document/d/1FV0kUVRGx7PDUcon9StLInuATpR4M2xwgjpQdI8GUW8/edit?usp=drivesdk
